Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Primary Equipment ,Primary Items,Posture,Body Region
Stability Ball Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Stability Ball,1,Supine,Midsection
Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Bridge,Lower Body
Bird Dog,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Quadruped,Midsection
Stability Ball Seated Russian Twist ,Video Demonstration,,Beginner,Abdominals,Obliques,Stability Ball,1,Seated,Midsection
Stability Ball Feet Elevated Crunch ,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Stability Ball,1,Supine,Midsection
Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Midsection
Alternating Heel Taps,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Bodyweight,0,Supine,Midsection
Flutter Kicks,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Midsection
Kneeling Plank,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Prone,Midsection
Ring Dead Hang,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Gymnastic Rings,2,Hanging,Upper Body
Miniband Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Miniband,1,Quadruped,Lower Body
Supine Alternating Single Leg Raise,Video Demonstration,,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Midsection
Stability Ball Crunch,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Stability Ball,1,Supine,Midsection
Stability Ball Feet Elevated Oblique Crunch,Video Demonstration,,Beginner,Abdominals,Obliques,Stability Ball,1,Supine,Midsection
Stability Ball Kneeling Rollout,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Stability Ball,1,Prone,Midsection
Double Dumbbell Romanian Deadlift,Video Demonstration,Video Explanation,Beginner,Hamstrings,Biceps Femoris,Dumbbell,2,Standing,Lower Body
Dumbbell Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Dumbbell,1,Bridge,Lower Body
Glute Bridge Alternating Single Leg Extension,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Single Leg Bridge,Lower Body
Miniband Side Lying Clamshell,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Miniband,1,Side Lying,Lower Body
Miniband Side Lying Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Miniband,1,Side Lying,Lower Body
Miniband Bench Seated Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Miniband,1,Seated,Lower Body
Miniband Glute Bridge With Hip Abduction,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Miniband,1,Bridge,Lower Body
Stability Ball Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Stability Ball,1,Bridge,Lower Body
Stability Ball Dumbbell Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Stability Ball,1,Bridge,Lower Body
Bodyweight Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Bridge,Lower Body
Dumbbell Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Dumbbell,1,Bridge,Lower Body
Miniband Thigh Lateral Walk,Video Demonstration,Video Explanation,Beginner,Abductors,Gluteus Medius,Miniband,1,Walking,Lower Body
Miniband 3-Way Cha Cha,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Miniband,1,Standing,Lower Body
Stability Ball T's Y's I's ,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Stability Ball,1,Prone,Upper Body
Resistance Band Standing Reverse Fly,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Resistance Band,1,Standing,Upper Body
Resistance Band Lateral Raise,Video Demonstration,,Beginner,Shoulders,Medial Deltoids,Resistance Band,1,Standing,Upper Body
Double Dumbbell Lateral Raise,Video Demonstration,Video Explanation,Beginner,Shoulders,Medial Deltoids,Dumbbell,2,Standing,Upper Body
Single Arm Resistance Band Standing Shoulder External Rotation,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Resistance Band,1,Standing,Upper Body
Double Dumbbell Seated Lateral Raise,Video Demonstration,,Beginner,Shoulders,Medial Deltoids,Dumbbell,2,Seated,Upper Body
Single Arm Dumbbell Side Lying Shoulder External Rotation,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Dumbbell,1,Side Lying,Upper Body
Miniband Standing Shoulder External Rotation,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Miniband,1,Standing,Upper Body
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Video Demonstration,,Beginner,Shoulders,Subscapularis ,Dumbbell,1,Side Lying,Upper Body
Stability Ball Dumbbell Arnold Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Stability Ball,1,Seated,Upper Body
Double Dumbbell Seated Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Dumbbell,2,Seated,Upper Body
Double Dumbbell Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Dumbbell,2,Standing,Upper Body
Double Dumbbell Shrug,Video Demonstration,,Beginner,Trapezius,Upper Trapezius,Dumbbell,2,Standing,Upper Body
Double Dumbbell Standing Scaption,Video Demonstration,,Beginner,Shoulders,Serratus Anterior,Dumbbell,2,Standing,Upper Body
Double Dumbbell Seated Scaption,Video Demonstration,,Beginner,Shoulders,Serratus Anterior,Dumbbell,2,Seated,Upper Body
Stability Ball Dumbbell Seated Scaption,Video Demonstration,,Beginner,Shoulders,Serratus Anterior,Stability Ball,1,Seated,Upper Body
Double Dumbbell Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Dumbbell,2,Standing,Upper Body
Alternating Double Dumbbell Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Dumbbell,2,Standing,Upper Body
Alternating Double Dumbbell Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Dumbbell,2,Standing,Upper Body
Alternating Double Dumbbell Cross Body Hammer Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Dumbbell,2,Standing,Upper Body
Single Arm Dumbbell Incline Bench Preacher Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Dumbbell,1,Standing,Upper Body
Dumbbell Crush Grip Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Dumbbell,1,Standing,Upper Body
Double Dumbbell Zottman Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Dumbbell,2,Standing,Upper Body
Dumbbell Waiter Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Dumbbell,1,Standing,Upper Body
Cable Straight Bar Drag Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Cable,1,Standing,Upper Body
Cable Rope Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Cable,1,Standing,Upper Body
Suspension Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Suspension Trainer,1,Standing,Upper Body
Double Dumbbell Standing Tricep Kickback,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Dumbbell,2,Standing,Upper Body
Dumbbell Seated Overhead Tricep Extension,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Dumbbell,1,Seated,Upper Body
Dumbbell Standing Overhead Tricep Extension,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Dumbbell,1,Standing,Upper Body
Double Dumbbell Close Grip Floor Chest Press,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Dumbbell,2,Supine,Upper Body
Double Dumbbell Close Grip Bench Press,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Dumbbell,2,Supine,Upper Body
Double Dumbbell Close Grip Incline Bench Press,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Dumbbell,2,Supine,Upper Body
Cable Rope Standing Tricep Pushdown ,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Cable,1,Standing,Upper Body
Double Dumbbell Suitcase Carry,Video Demonstration,Video Explanation,Beginner,Forearms,Brachioradialis,Dumbbell,2,Walking,Full Body
Incline Push Up,Video Demonstration,,Beginner,Chest,Pectoralis Major,Bodyweight,0,Standing,Upper Body
Kneeling Push Up,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Bodyweight,0,Kneeling,Upper Body
Suspension Chest Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Suspension Trainer,1,Standing,Upper Body
Suspension Chest Fly,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Suspension Trainer,1,Standing,Upper Body
Stability Ball Double Dumbbell Chest Fly,Video Demonstration,,Beginner,Chest,Pectoralis Major,Stability Ball,1,Supine,Upper Body
Stability Ball Dumbbell Pullover ,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Stability Ball,1,Supine,Upper Body
Double Dumbbell Incline Bench Chest Fly,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Suspension Low Row,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Suspension Trainer,1,Standing,Upper Body
Suspension Mid Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Suspension Trainer,1,Standing,Upper Body
Cable Seated V Grip Low Row,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Cable,1,Seated,Upper Body
Prone Cobra,Video Demonstration,Video Explanation,Beginner,Back,Erector Spinae ,Bodyweight,0,Prone,Upper Body
Wall Sit ,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Wall Sit,Lower Body
Wall Slide Squat,https://www.youtube.com/watch?v=FU_rl11eE3g ,https://www.youtube.com/watch?v=KRHexHq1PsQ ,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,Lower Body
Stability Ball Wall Slide Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Stability Ball,1,Standing,Lower Body
Suspension Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Suspension Trainer,1,Standing,Lower Body
Suspension Alternating Reverse Lunge,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Suspension Trainer,1,Standing,Lower Body
Bodyweight Squat to Bench,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,Lower Body
Bodyweight Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,Lower Body
Bodyweight Hand Assisted Split Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Split Stance Standing,Lower Body
Bodyweight Walking Lunge,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Walking,Lower Body
Dumbbell Goblet Squat ,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Dumbbell,1,Standing,Lower Body
Miniband Romanian Deadlift,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Miniband,1,Standing,Lower Body
Cable Pull Through,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Cable,1,Standing,Lower Body
Double Dumbbell Seated Reverse Fly,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Dumbbell,2,Seated,Upper Body
Face the Wall Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,Lower Body
Kettlebell Sumo Deadlift,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Kettlebell,1,Standing,Full Body
Miniband Monster Walk,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Miniband,1,Walking,Lower Body
Quadruped Hip Extension,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Quadruped,Lower Body
Stability Ball Overhead Walking Lunge,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Stability Ball,1,Walking,Lower Body
Kettlebell Goblet Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Lower Body
Double Dumbbell Front Rack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Dumbbell,2,Standing,Lower Body
Single Arm Dumbbell Seated Concentration Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Dumbbell,1,Seated,Upper Body
Alternating Double Dumbbell Incline Bench Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Dumbbell,2,Seated,Upper Body
Bodyweight Alternating Cossack Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,Lower Body
Bodyweight Knee Over Toes Split Squat ,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Knee Over Toes Split Stance Standing,Lower Body
Stability Ball Oblique Crunch ,Video Explanation,Video Explanation,Beginner,Abdominals,Obliques,Stability Ball,1,Supine,Midsection
Alternating Double Dumbbell Front Raise,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Dumbbell,2,Standing,Upper Body
Double Kettlebell Romanian Deadlift ,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Kettlebell,2,Standing,Lower Body
Cable Wide Grip Lat Pulldown,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Cable,1,Seated,Upper Body
Cable Reverse Grip Lat Pulldown,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Cable,1,Seated,Upper Body
Cable Seated V Grip Lat Pulldown,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Cable,1,Seated,Upper Body
Bodyweight Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Bridge,Lower Body
Double Dumbbell Bench Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Double Dumbbell Incline Bench Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Double Kettlebell Sumo Deadlift,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Kettlebell,2,Standing,Full Body
Double Kettlebell Bent Over Row,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Kettlebell,2,Standing,Upper Body
Double Kettlebell Shrug,Video Demonstration,Video Explanation,Beginner,Trapezius ,Upper Trapezius,Kettlebell,2,Standing,Upper Body
Bird Dog Knee to Elbow,Video Demonstration,,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Quadruped,Midsection
Superband Standing Pallof Press,Video Demonstration,,Beginner,Abdominals,Obliques,Superband,1,Standing,Midsection
Superband Pull Through,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Superband,1,Standing,Lower Body
Miniband Quadruped Hip Extension,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Miniband,1,Quadruped,Lower Body
Slider Eccentric Hamstring Curl,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Sliders,2,Supine,Lower Body
Miniband Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Miniband,1,Bridge,Lower Body
Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Quadruped,Lower Body
Seated Wall Angels,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Bodyweight,0,Seated,Upper Body
Kneeling Side Plank,Video Demonstration,,Beginner,Abdominals,Obliques,Bodyweight,0,Kneeling,Midsection
Superband Single Leg Ankle Dorsiflexion,Video Demonstration,,Beginner,,Tibialis Anterior,Superband,1,Seated,Lower Body
Parallette Kneeling Close Grip Tricep Push Up,,,Beginner,Triceps,Triceps Brachii,Parallette Bars,1,Prone,Upper Body
Bodyweight Hand Assisted Foot Elevated Knee Over Toes Split Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Foot Elevated Standing,Lower Body
Foot Elevated Knee Over Toes Split Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Knee Over Toes Split Stance Standing,Lower Body
Stability Ball Sit Up,Video Demonstration,,Beginner,Abdominals,Rectus Abdominis,Stability Ball,1,Supine,Midsection
Side Lying Hip Adduction,Video Demonstration,,Beginner,Adductors,Adductor Magnus,Bodyweight,0,Side Lying,Lower Body
Suspension Y Raise,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Suspension Trainer,1,Standing,Upper Body
Standing Wall Angels,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Bodyweight,0,Standing,Upper Body
Suspension Reverse Fly,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Suspension Trainer,1,Standing,Upper Body
Double Dumbbell Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Double Dumbbell Flat Bench Chest Fly,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Double Dumbbell Decline Bench Chest Fly,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Dumbbell Crush Grip Romanian Deadlift,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Dumbbell,1,Standing,Lower Body
Dumbbell Crush Grip Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Dumbbell,1,Bent Over Standing,Upper Body
Dumbbell Crush Grip Bicep Curl to Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Dumbbell,1,Standing,Upper Body
Dumbbell Crush Grip Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Dumbbell,1,Standing,Upper Body
Dumbbell Crush Grip Floor Chest Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,1,Supine,Upper Body
Dumbbell Crush Grip Standing Overhead Tricep Extension,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Dumbbell,1,Standing,Upper Body
Bodyweight Adductor Slide,Video Demonstration,,Beginner,Adductors,Adductor Magnus,Sliders,1,Standing,Lower Body
Double Kettlebell Overhead Press,Video Demonstration,Video Explanation,Beginner,Shoulders,Anterior Deltoids,Kettlebell,2,Standing,Upper Body
Double Kettlebell Suitcase Carry,Video Demonstration,Video Explanation,Beginner,Forearms,Brachioradialis,Kettlebell,2,Walking,Full Body
Single Arm Kettlebell Suitcase Carry,Video Demonstration,Video Explanation,Beginner,Forearms,Brachioradialis,Kettlebell,1,Walking,Full Body
Single Arm Dumbbell Suitcase Carry,Video Demonstration,,Beginner,Forearms,Brachioradialis,Dumbbell,1,Walking,Full Body
Bodyweight Foot Elevated Cossack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Foot Elevated Standing,Lower Body
Cable Seated Floor V Grip Lat Pulldown,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Cable,1,Seated Floor,Upper Body
Suspension Alternating Cossack Squat,,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Suspension Trainer,1,Standing,Lower Body
Battle Rope Alternating Wave,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Battle Ropes,1,Standing,Upper Body
Suspension Split Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Suspension Trainer,1,Split Stance Standing,Lower Body
Double Kettlebell Suitcase Deadlift,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Kettlebell,2,Standing,Full Body
Suspension Cyclist Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Suspension Trainer,1,Standing,Lower Body
