Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Primary Equipment ,Primary Items,Posture,Body Region
Single Arm Suspension Chest Press,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Suspension Trainer,1,Standing,Upper Body
Barbell Hang Power Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Barbell,1,Standing,Full Body
Landmine Goblet Alternating Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Landmine,1,Standing,Lower Body
Landmine Low Hold Alternating Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Landmine,1,Standing,Lower Body
Pike Headstand Push Up,https://www.youtube.com/watch?v=bOdgC4m1DRY,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Bodyweight,0,Inverted,Upper Body
Feet Elevated Pike Headstand Push Up,https://www.youtube.com/watch?v=8URA3YSur2M ,https://www.youtube.com/watch?v=Z7QvNiUtjwQ ,Intermediate,Shoulders,Anterior Deltoids,Bodyweight,0,Inverted,Upper Body
Ring Skin The Cat,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Gymnastic Rings,2,Hanging,Upper Body
Ring Row Feet Elevated,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,Gymnastic Rings,2,Supine,Upper Body
Ring Bulgarian Row Feet Elevated,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,Gymnastic Rings,2,Supine,Upper Body
Single Arm Ring Plank,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gymnastic Rings,1,Prone,Midsection
Ring Push Up,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Gymnastic Rings,2,Prone,Upper Body
Ring Chest Fly,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Gymnastic Rings,2,Prone,Upper Body
Hollow Rock ,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Midsection
Single Arm Dumbbell Power Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Dumbbell,1,Standing,Full Body
Alternating Single Arm Dumbbell Power Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Dumbbell,1,Standing,Full Body
Single Arm Dumbbell Squat Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Dumbbell,1,Standing,Full Body
Alternating Single Arm Dumbbell Squat Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Dumbbell,1,Standing,Full Body
Single Arm Cable Single Leg Romanian Deadlift,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Cable,1,Single Leg Standing,Lower Body
Double Kettlebell Single Leg Romanian Deadlift ,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Kettlebell,2,Single Leg Standing,Lower Body
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,Video Demonstration,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Kettlebell,1,Single Leg Standing,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Lower Body
Double Kettlebell Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Split Jerk,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Kettlebell,2,Standing,Full Body
Double Kettlebell Clean and Jerk,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell High Pull,Video Demonstration,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,Kettlebell,2,Standing,Full Body
Double Kettlebell Bottoms Up Front Rack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,2,Standing,Lower Body
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,2,Standing,Lower Body
Double Kettlebell Hang Squat Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Hollow Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Kettlebell,2,Supine,Midsection
Double Kettlebell Hollow Hold With Flutter Kick,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Kettlebell,2,Supine,Midsection
Double Kettlebell Dead Clean to Push Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Kettlebell,2,Standing,Full Body
Double Kettlebell Front Rack Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,2,Single Leg Supported,Lower Body
Double Kettlebell Overhead Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,2,Standing,Lower Body
Double Kettlebell Front Rack Cyclist Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,2,Standing,Lower Body
Single Arm Kettlebell Dead Clean to Rotational Overhead Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Kettlebell,1,Standing,Full Body
Single Arm Kettlebell Rotational Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Kettlebell,1,Standing,Upper Body
Single Arm Kettlebell Z Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Kettlebell,1,Seated Floor,Upper Body
Single Arm Kettlebell Contralateral Split Squat Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Kettlebell,1,Split Stance Standing,Full Body
Alternating Single Arm Kettlebell Swing,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Alternating Single Arm Kettlebell Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Alternating Single Arm Kettlebell Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Single Arm Kettlebell Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Kettlebell,1,Standing,Upper Body
Single Arm Kettlebell Staggered Stance Swing,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Kettlebell,1,Staggered Stance Standing,Full Body
Single Arm Dumbbell Side Plank Reach Through ,Video Demonstration,,Advanced,Abdominals,Obliques,Dumbbell,1,Side Plank,Midsection
Ring Hanging Leg Raise ,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,Midsection
Parallette L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Parallette Bars,2,L Sit,Midsection
Slider Pike ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Sliders,2,Prone,Midsection
Stability Ball Pike,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Stability Ball,1,Prone,Midsection
Stability Ball Single Leg Knee Tuck,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Stability Ball,1,Prone,Midsection
Ring Dips,Video Demonstration,Video Explanation,Advanced,Triceps,Triceps Brachii ,Gymnastic Rings,2,Hanging,Upper Body
Double Dumbbell Devil Press,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Dumbbell,2,Standing,Full Body
Alternating Single Arm Dumbbell Devil Press,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Dumbbell,1,Standing,Full Body
Single Arm Push Up,Video Demonstration,Video Explanation,Advanced,Chest,Pectoralis Major,Bodyweight,0,Prone,Upper Body
Aztec Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Bodyweight,0,Prone,Upper Body
Rolling Squat Burpee,Video Demonstration,Video Explanation,Advanced,Chest,Pectoralis Major,Bodyweight,0,Standing,Full Body
Ring Archer Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,Gymnastic Rings,2,Hanging,Upper Body
Nordic Hamstring Curl,Video Demonstration,Video Explanation,Advanced,Hamstrings,Biceps Femoris,Bodyweight,0,Tall Kneeling,Lower Body
Barbell Overhead Knee Over Toes Split Squat,https://www.youtube.com/watch?v=wQrvCnYb4yw,https://www.youtube.com/watch?v=GfYWNi537EQ ,Advanced,Quadriceps,Quadriceps Femoris,Barbell,1,Knee Over Toes Split Stance Standing,Lower Body
Barbell Single Leg Bent Knee Bicep Curl,https://www.youtube.com/watch?v=zJMJ7DAEISk,https://www.youtube.com/watch?v=zJMJ7DAEISk,Advanced,Biceps,Biceps Brachii,Barbell,1,Single Leg Standing,Upper Body
Freestanding Handstand ,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Bodyweight,0,Inverted,Upper Body
Suspension Side Plank Reach Through,Video Demonstration,,Advanced,Abdominals,Obliques,Suspension Trainer,1,Side Plank,Midsection
Stability Ball Feet Elevated Single Arm Parallette Plank,https://www.youtube.com/watch?v=PAFvOAPjKwk ,,Advanced,Abdominals,Rectus Abdominis,Stability Ball,1,Prone,Midsection
Wall Eccentric Straddle Press Handstand,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Bodyweight,0,Inverted,Upper Body
Tuck L Sit,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Bodyweight,0,L Sit,Midsection
Parallette Straddle L Sit,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Parallette Bars,2,L Sit,Midsection
Ring Tuck Back Lever,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,
Ring Advanced Tuck Back Lever,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,
Ring Tuck Front Lever,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,
Ring Advanced Tuck Front Lever,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,
Ring Straddle Front Lever,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,
Ring Inverted Hang,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,
Ring L Sit Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,Gymnastic Rings,2,Hanging,Upper Body
Ring Bulgarian Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,Gymnastic Rings,2,Hanging,Upper Body
Ring Bulgarian L Sit Pull Up,Video Demonstration,,Advanced,Back,Latissimus Dorsi,Gymnastic Rings,2,Hanging,Upper Body
Ring Side Plank,Video Demonstration,,Advanced,Abdominals,Obliques,Gymnastic Rings,1,Side Plank,Midsection
Single Arm Barbell Bicep Curl,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Barbell,1,Standing,Upper Body
Double Kettlebell Overhead Walking Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,2,Walking,Lower Body
Parallette Tuck Planche,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Parallette Bars,2,,Midsection
Ring False Grip Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,Gymnastic Rings,2,Hanging,Upper Body
Single Arm Kettlebell Clean to Press Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Kettlebell,1,Standing,Full Body
Single Arm Kettlebell Half Kneeling Windmill,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Kettlebell,1,Half Kneeling,Midsection
Kettlebell Goblet Skater Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Lower Body
Double Kettlebell Front Rack Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,2,Single Leg Standing,Lower Body
Ring Pike Feet Elevated Handstand Push Up,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Gymnastic Rings,2,Inverted,Upper Body
Ring L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,Midsection
Ring Tuck Back Lever With Alternating Single Leg Extensions,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,Upper Body
Ring Tuck Front Lever With Alternating Single Leg Extensions,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,Upper Body
Inverted Crunch With Gravity Boots,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Bodyweight,0,Inverted,Midsection
Barbell Standing Rollout,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Barbell,1,Standing,Midsection
Barbell Zercher Squat,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Barbell,1,Standing,Lower Body
Barbell Hang Squat Clean Thruster,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Barbell,1,Standing,Full Body
Barbell Squat Clean Thruster,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Barbell,1,Standing,Full Body
Single Arm Kettlebell Half Kneeling Clean to Side Press,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Kettlebell,1,Half Kneeling,Upper Body
Parallette Feet Elevated Pike Push Up,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Parallette Bars,2,Inverted,Upper Body
Ring Archer Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Gymnastic Rings,2,Prone,Upper Body
Superband Assisted Muscle Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,Superband,1,Hanging,Upper Body
Single Arm Kettlebell Bottoms Up Turkish Get Up,Video Demonstration,,Advanced,Abdominals,Obliques,Kettlebell,1,Supine,Full Body
Single Arm Kettlebell Tactical Snatch,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Single Arm Kettlebell Snatch to Overhead Reverse Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Full Body
Single Arm Kettlebell Clean to Front Rack Reverse Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Full Body
Single Arm Kettlebell Split Jerk,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Full Body
Alternating Single Arm Kettlebell Split Jerk,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Full Body
Double Kettlebell Bottoms Up Overhead Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,2,Standing,Lower Body
Double Kettlebell Bottoms Up Snatch,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Single Arm Kettlebell Waiter Clean,Video Demonstration,Video Explanation,Advanced,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Single Arm Kettlebell Waiter Clean Hot Potato,Video Demonstration,Video Explanation,Advanced,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Alternating Single Arm Kettlebell Waiter Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Double Kettlebell Waiter Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Waiter Clean to Overhead Press,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Waiter Clean to Alternating Overhead Press,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Waiter Clean to Thruster,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Kettlebell,2,Standing,Full Body
Parallette Push Up to L Sit,Video Demonstration,,Advanced,Chest,Pectoralis Major,Parallette Bars,2,Prone,Upper Body
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Kettlebell,1,Half Kneeling,Midsection
Single Arm Plate Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Weight Plate,1,Standing,Midsection
Single Arm Plate Turkish Get Up,Video Demonstration,,Advanced,Abdominals,Obliques,Weight Plate,1,Supine,Full Body
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Kettlebell,1,Single Leg Standing Bent Knee,Upper Body
Double Kettlebell Turkish Get Up,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Kettlebell,2,Supine,Full Body
Double Kettlebell Snatch to Overhead Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,2,Standing,Full Body
Ring Standing Rollout,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Standing,Midsection
Ring Alternating Single Arm Reach Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Gymnastic Rings,2,Prone,Upper Body
Ring L Sit Dips,Video Demonstration,,Advanced,Triceps,Triceps Brachii ,Gymnastic Rings,2,Hanging,Upper Body
Single Ring Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Gymnastic Rings,1,Hanging,Upper Body
Double Kettlebell Windmill,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Kettlebell,2,Standing,Midsection
Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Gymnastic Rings,2,Hanging,Upper Body
Single Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Gymnastic Rings,1,Hanging,Upper Body
Ring Maltese Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Gymnastic Rings,2,Prone,Upper Body
Ring Tuck Planche,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,,
Ring Pelican Curl,Video Demonstration,Video Explanation,Advanced,Biceps,Biceps Brachii,Gymnastic Rings,2,Hanging,Upper Body
Single Arm Kettlebell Tactical Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Pseudo Planche Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Bodyweight,0,Prone,Upper Body
Single Arm Kettlebell Rotational Snatch,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Kettlebell,1,Standing,Full Body
Ring Hanging Knees to Elbows,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,Midsection
Double Kettlebell Suitcase Deficit Bulgarian Split Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,2,Single Leg Supported,Lower Body
Battle Rope Single Leg Balance Alternating Wave,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Battle Ropes,1,Single Leg Standing,Upper Body
Slider Single Leg Hamstring Curl,Video Demonstration,,Advanced,Hamstrings,Biceps Femoris,Sliders,1,Supine,Lower Body
Barbell Overhead Alternating Cossack Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Barbell,1,Standing,Lower Body
Barbell Overhead Alternating Reverse Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Barbell,1,Standing,Lower Body
Double Kettlebell Feet Elevated Renegade Row,Video Demonstration,,Advanced,Back,Latissimus Dorsi,Kettlebell,2,Prone,Upper Body
Double Kettlebell Feet Elevated Renegade Row Push Up,Video Demonstration,,Advanced,Back,Latissimus Dorsi,Kettlebell,2,Prone,Upper Body
Barbell Hang Squat Clean,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Barbell,1,Standing,Full Body
Bulgarian Bag Spin,Video Demonstration,Video Explanation,Advanced,Shoulders,Posterior Deltoids,Bulgarian Bag,1,Standing,Upper Body
Bulgarian Bag Alternating Spin to Side Swing Squat,Video Demonstration,,Advanced,Shoulders,Posterior Deltoids,Bulgarian Bag,1,Standing,Full Body
Bulgarian Bag Alternating Side Swing Squat,Video Demonstration,,Advanced,Abdominals,Obliques,Bulgarian Bag,1,Standing,Full Body
